Simple Culture Survey — Prototype Language Review (V3),,,,,,,,,,,,,,,,
หลักการตอบ: ไม่มีคำตอบถูกหรือผิด ให้เลือก 1 คำตอบสำหรับ “สิ่งที่เกิดขึ้นจริงในปัจจุบัน” และ 1 คำตอบสำหรับ “สิ่งที่อยากเห็นในอนาคต”,,,,,,,,,,,,,,,,
Current prompt,จากประสบการณ์จริง วันนี้องค์กรมักทำแบบไหน,,,,,,,,,,,,,,,
Desired prompt,ในอนาคต คุณอยากให้องค์กรทำแบบไหน,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ลำดับ,Simple ID,Workplace Dimension,หัวข้อคำถาม,คำถาม,ตัวเลือก A,Mapping A,ตัวเลือก B,Mapping B,ตัวเลือก C,Mapping C,ตัวเลือก D,Mapping D,สถานะตรวจสอบ,ความเห็น OD,ผู้ตรวจ,วันที่ตรวจ
1,Q01,Innovation & Experimentation,ไอเดียใหม่,เมื่อมีไอเดียใหม่ องค์กรของคุณมักเป็นแบบไหน,ช่วยกันต่อยอดไอเดีย,Clan,เปิดโอกาสให้ลองสิ่งใหม่,Adhocracy,เลือกสิ่งที่ให้ผลลัพธ์ดีที่สุด,Market,ทำตามขั้นตอนก่อนเริ่ม,Hierarchy,รอตรวจ,,,
2,Q02,Cross-functional Collaboration,การทำงานร่วมกัน,เมื่อต้องทำงานร่วมกับหลายฝ่าย องค์กรของคุณมักเป็นแบบไหน,ช่วยกันคิด ช่วยกันทำ,Clan,เปิดรับวิธีทำงานใหม่,Adhocracy,มุ่งไปที่เป้าหมายเดียวกัน,Market,แบ่งหน้าที่ชัดเจน,Hierarchy,รอตรวจ,,,
3,Q03,Ownership,ความรับผิดชอบ,เมื่อเกิดปัญหา องค์กรของคุณมักเป็นแบบไหน,ช่วยกันรับผิดชอบ,Clan,ปรับวิธีแก้ตามสถานการณ์,Adhocracy,มีเจ้าภาพผลักดันให้งานเดินต่อ,Market,ทำตามบทบาทและขั้นตอน,Hierarchy,รอตรวจ,,,
4,Q04,Goal Setting,การตั้งเป้าหมาย,เมื่อตั้งเป้าหมายการทำงาน องค์กรของคุณมักเป็นแบบไหน,ทุกคนมีส่วนร่วมกำหนดเป้าหมาย,Clan,ปรับเป้าหมายได้เมื่อจำเป็น,Adhocracy,เป้าหมายชัดและวัดผลได้,Market,กำหนด KPI และวิธีติดตามชัดเจน,Hierarchy,รอตรวจ,,,
5,Q05,Learning from Failure,การเรียนรู้จากความผิดพลาด,เมื่อผลลัพธ์ไม่เป็นไปตามเป้าหมาย องค์กรของคุณมักเป็นแบบไหน,ช่วยกันเรียนรู้และปรับปรุง,Clan,ลองวิธีใหม่อีกครั้ง,Adhocracy,เร่งให้งานกลับมาตามเป้าหมาย,Market,ปรับขั้นตอนเพื่อไม่ให้เกิดซ้ำ,Hierarchy,รอตรวจ,,,
6,Q06,Conflict & Decision,การตัดสินใจ,เมื่อมีความคิดเห็นไม่ตรงกัน องค์กรของคุณมักเป็นแบบไหน,รับฟังกันก่อนตัดสินใจ,Clan,ทดลองหลายแนวทาง,Adhocracy,ใช้เป้าหมายของงานเป็นหลัก,Market,ยึดตามกฎหรือผู้มีอำนาจ,Hierarchy,รอตรวจ,,,
7,Q07,Customer / Audience Agility,การตอบสนองลูกค้า,เมื่อลูกค้าหรือผู้ชมเปลี่ยนแปลง องค์กรของคุณมักเป็นแบบไหน,ช่วยกันหาทางตอบโจทย์,Clan,ปรับตัวให้เร็ว,Adhocracy,มุ่งตอบโจทย์ลูกค้าและธุรกิจ,Market,ปรับตามกระบวนการที่กำหนด,Hierarchy,รอตรวจ,,,
8,Q08,Empowerment,การให้อำนาจตัดสินใจ,เมื่อไม่มีแนวทางที่ชัดเจน องค์กรของคุณมักคาดหวังให้พนักงาน,ปรึกษาผู้เกี่ยวข้อง,Clan,กล้าตัดสินใจและเรียนรู้,Adhocracy,ตัดสินใจเพื่อให้งานเดินต่อ,Market,ตรวจสอบกฎก่อนตัดสินใจ,Hierarchy,รอตรวจ,,,
9,Q09,Leadership Role,บทบาทผู้นำ,ผู้นำในองค์กรของคุณมักเป็นแบบไหน,ดูแลและสนับสนุนทีม,Clan,สนับสนุนการคิดสิ่งใหม่,Adhocracy,ผลักดันให้ทีมทำเป้าหมายสำเร็จ,Market,วางระบบและกำกับการทำงาน,Hierarchy,รอตรวจ,,,
10,Q10,Resource Allocation,การจัดสรรทรัพยากร,เมื่อต้องจัดสรรคน งบประมาณ หรือเวลา องค์กรของคุณมักเป็นแบบไหน,ช่วยกันแบ่งปันทรัพยากร,Clan,เปิดโอกาสให้ทดลองสิ่งใหม่,Adhocracy,ให้ความสำคัญกับงานที่สร้างผลลัพธ์,Market,จัดสรรตามแผนที่กำหนด,Hierarchy,รอตรวจ,,,
11,Q11,Recognition & Promotion,การยอมรับและความก้าวหน้า,คนแบบใดมักได้รับการยอมรับหรือมีโอกาสเติบโต,คนที่ช่วยให้ทีมสำเร็จ,Clan,คนที่คิดและสร้างสิ่งใหม่,Adhocracy,คนที่สร้างผลงานได้ชัดเจน,Market,คนที่ทำงานได้ถูกต้องและเป็นระบบ,Hierarchy,รอตรวจ,,,
12,Q12,Workflow Transformation,การเปลี่ยนแปลงวิธีทำงาน,เมื่อต้องเปลี่ยนวิธีการทำงาน องค์กรของคุณมักเป็นแบบไหน,เปิดโอกาสให้ทุกฝ่ายมีส่วนร่วม,Clan,ทดลองก่อนแล้วค่อยขยายผล,Adhocracy,ปรับเพื่อให้ได้ผลลัพธ์ที่ดีขึ้น,Market,วางขั้นตอนใหม่ให้ชัดเจน,Hierarchy,รอตรวจ,,,